2017/09/27 15:07:42.240 (SCRIPTRUNNER): Starting script: rampwithwaits.rb
2017/09/27 15:07:42.616 (rampwithwaits.rb:2): Marshal load success: D:/Repos/DubSat1/grnd/experiments/ArdMOS/cosmos/outputs/tmp/marshal_7884234e077ae89d22fa99973ddc13e8.bin
2017/09/27 15:07:42.617 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 4")
2017/09/27 15:07:42.816 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 5")
2017/09/27 15:07:43.016 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 6")
2017/09/27 15:07:43.216 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 7")
2017/09/27 15:07:43.416 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 8")
2017/09/27 15:07:43.617 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 9")
2017/09/27 15:07:43.822 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 10")
2017/09/27 15:07:44.023 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 11")
2017/09/27 15:07:44.222 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 12")
2017/09/27 15:07:44.421 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 13")
2017/09/27 15:07:44.617 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 14")
2017/09/27 15:07:44.822 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 15")
2017/09/27 15:07:45.021 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 16")
2017/09/27 15:07:45.228 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 17")
2017/09/27 15:07:45.412 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 18")
2017/09/27 15:07:45.614 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 19")
2017/09/27 15:07:45.814 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 20")
2017/09/27 15:07:46.023 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 21")
2017/09/27 15:07:46.223 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 22")
2017/09/27 15:07:46.414 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 23")
2017/09/27 15:07:46.614 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 24")
2017/09/27 15:07:46.817 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 25")
2017/09/27 15:07:47.017 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 26")
2017/09/27 15:07:47.217 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 27")
2017/09/27 15:07:47.417 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 28")
2017/09/27 15:07:47.616 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 29")
2017/09/27 15:07:47.816 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 30")
2017/09/27 15:07:48.033 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 31")
2017/09/27 15:07:48.215 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 32")
2017/09/27 15:07:48.418 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 33")
2017/09/27 15:07:48.618 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 34")
2017/09/27 15:07:48.831 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 35")
2017/09/27 15:07:49.015 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 36")
2017/09/27 15:07:49.225 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 37")
2017/09/27 15:07:49.426 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 38")
2017/09/27 15:07:49.626 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 39")
2017/09/27 15:07:49.828 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 40")
2017/09/27 15:07:50.024 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 41")
