name,priority,id,=id_hex,msp_cat,gnd_class,=calculated_id,=calculated_id_hex,data_length,senders,description,added to dbc
bdot_tumble_status,18,32,0x020,cat_adcs,gnd_health,304545824,0x12270020,1,,Whether the BDot is tumbling,yes
cmd_batt_bal_enable,18,259,0x103,cat_cmd,gnd_none,302252291,0x12040103,1,,command to enable battery balancer,yes
dist_solar_deploy,2,20,0x014,,,33554452,0x02000014,0,,Command to deploy the solar panels,descoped
cmd_batt_rst,18,258,0x102,cat_cmd,gnd_none,302252290,0x12040102,1,,command to reset the battery statistics,yes
cmd_com2_run,18,497,0x1F1,cat_comm2,gnd_none,302514673,0x120801F1,2,,Add a python file to the queue,yes
sensorproc_photodiode,2,64,0x040,,,33554496,0x02000040,3,,Photodiode Readings,descoped
cmd_ignore_fsw,18,36,0x024,cat_cmd,gnd_none,302252068,0x12040024,4,,BDOT command from flight sw,yes
cmd_mtq_bdot,18,33,0x021,cat_adcs,gnd_realtime,303497249,0x12170021,3,adcs_bdot,How does the BDOT want the magnetorquers to fire,yes
cmd_mtq_fsw,18,35,0x023,cat_cmd,gnd_none,302252067,0x12040023,4,adcs_estim,BDOT command from flight sw,yes
sensorproc_gps_pos_x,2,80,0x050,,,33554512,0x02000050,8,,WGS84 ECEF x coord position,descoped
sensorproc_gps_pos_y,2,81,0x051,,,33554513,0x02000051,8,,WGS84 ECEF y coord position,descoped
sensorproc_gps_pos_z,2,82,0x052,,,33554514,0x02000052,8,,WGS84 ECEF z coord position,descoped
sensorproc_gps_vel_x,2,83,0x053,,,33554515,0x02000053,8,,WGS84 ECEF x coord velocity,descoped
sensorproc_gps_vel_y,2,84,0x054,,,33554516,0x02000054,8,,WGS84 ECEF y coord velocity,descoped
sensorproc_gps_vel_z,2,85,0x055,,,33554517,0x02000055,8,,WGS84 ECEF z coord velocity,descoped
sensorporc_gps_x_u,2,86,0x056,,,33554518,0x02000056,8,,WGS84 ECEF x velocity and position uncertainty,descoped
sensorporc_gps_y_u,2,87,0x057,,,33554519,0x02000057,8,,WGS84 ECEF y velocity and position uncertainty,descoped
sensorporc_gps_z_u,2,88,0x058,,,33554520,0x02000058,8,,WGS84 ECEF z velocity and position uncertainty,descoped
sensorproc_gps_time,2,89,0x059,,,33554521,0x02000059,8,,GPS time,descoped
sensorproc_gps_pwr,2,90,0x05A,,,33554522,0x0200005A,1,,GPS Power State,na_descope
sensorproc_gps_status,2,91,0x05B,,,33554523,0x0200005B,8,,GPS Status,na_descope
sensorproc_gps_enable,2,128,0x080,,,33554560,0x02000080,1,,Enable/Disable Command for GPS,descoped
cmd_pd_enable,18,257,0x101,cat_cmd,gnd_none,302252289,0x12040101,2,,command to enable power domain x,yes
cmd_pd_rst,18,273,0x111,cat_pwr,gnd_none,302121233,0x12020111,1,,Reset Bat Bal Aggregates,yes
cmd_ppt_set_count,18,262,0x106,cat_cmd,gnd_none,302252294,0x12040106,1,,Set the number of times PPT fires,
sensorproc_david,2,511,0x1FF,,,33554943,0x020001FF,8,,GPD Debug Info (Not handled by C&DH),na_descope
cmd_ppt_single_fire,18,256,0x100,cat_cmd,gnd_none,302252288,0x12040100,2,,charge w/ or w/o checking conditions and optionally firing,yes
cmd_ppt_time_upd,18,261,0x105,cat_cmd,gnd_none,302252293,0x12040105,8,,Update ppt fire timing dimensions,
cmd_reboot_request,0,8,0x008,cat_cmd,gnd_none,262152,0x00040008,1,"adcs_bdot,adcs_estim,adcs_mpc,adcs_mtq,adcs_sensorproc,eps_batt,eps_dist,eps_gen",Request for power domain to be rebooted,yes
cmd_rollcall,0,20,0x014,cat_brd,gnd_none,65556,0x00010014,7,eps_dist,EPS Roll Call Command include met,yes
com2_state,18,496,0x1F0,cat_comm2,gnd_realtime,303563248,0x121801F0,8,,COMM2 Statistics,yes
eps_dist_autoseq_get_indices_rsp,18,728,0x2D8,cat_none,gnd_realtime,303039192,0x121002D8,8,eps_dist,the first 8 indices of the specified CAN ID,yes
