name		priority	id	=id_hex	msp_cat	gnd_class	=calculated_id	=calculated_id_hex	data_length	senders	description	added to dbc
bdot_tumble_status		18	32	0x020	cat_adcs	gnd_none	302448672	0x12070020	1		Whether the BDot is tumbling	yes
cmd_batt_bal_enable		18	259	0x103	cat_cmd	gnd_health	304349443	0x12240103	1		command to enable battery balancer	yes
cmd_batt_rst		18	258	0x102	cat_cmd	gnd_health	304349442	0x12240102	1		command to reset the battery statistics	yes
cmd_com2_run		18	497	0x1F1	cat_comm2	gnd_none	302514673	0x120801F1	2		Add a python file to the queue	yes
cmd_gen_rst		18	272	0x110	cat_cmd	gnd_realtime	303300880	0x12140110	1		Reset Gen Board aggregates	yes
cmd_ignore_fsw		18	36	0x024	cat_cmd	gnd_health	304349220	0x12240024	4		BDOT command from flight sw	yes
cmd_mtq_bdot		18	33	0x021	cat_adcs	gnd_health	304545825	0x12270021	3	adcs_bdot	How does the BDOT want the magnetorquers to fire	yes
cmd_mtq_fsw		18	35	0x023	cat_cmd	gnd_health	304349219	0x12240023	4	adcs_estim	BDOT command from flight sw	yes
cmd_pd_enable		18	257	0x101	cat_cmd	gnd_realtime	303300865	0x12140101	2		command to enable power domain x	yes
cmd_pd_rst		18	273	0x111	cat_pwr	gnd_health	304218385	0x12220111	1		Reset Bat Bal Aggregates	yes
cmd_ppt_halt		17	260	0x104	cat_cmd	gnd_none	285475076	0x11040104	1		Immediately halt PPT	
cmd_ppt_set_count		18	262	0x106	cat_cmd	gnd_none	302252294	0x12040106	1		Set the number of times PPT fires	
cmd_ppt_single_fire		18	256	0x100	cat_cmd	gnd_realtime	303300864	0x12140100	2		
cmd_ppt_time_upd		18	261	0x105	cat_cmd	gnd_none	302252293	0x12040105	8		Update ppt fire timing dimensions	
cmd_reboot_request		0	8	0x008	cat_cmd	gnd_realtime	1310728	0x00140008	1	
cmd_rollcall		0	20	0x014	cat_brd	gnd_realtime	1114132	0x00110014	7	eps_dist	EPS Roll Call Command include met	yes
com2_state		18	496	0x1F0	cat_comm2	gnd_health	304611824	0x122801F0	8		COMM2 Statistics	yes
dist_autoseq_get_indices_rsp		18	728	0x2D8	cat_none	gnd_realtime	303039192	0x121002D8	8	eps_dist	the first 8 indices of the specified CAN ID	yes
dist_autosequencer_get_met_rsp		18	729	0x2D9	cat_none	gnd_realtime	303039193	0x121002D9	4	eps_dist	the MET of the item	yes
eps_batt_current		18	193	0x0C1	cat_pwr	gnd_realtime	303169729	0x121200C1	8		EPS battery data current stuff	yes
eps_batt_state		18	194	0x0C2	cat_pwr	gnd_realtime	303169730	0x121200C2	4		EPS battery data state	yes
eps_batt_voltage		18	192	0x0C0	cat_pwr	gnd_realtime	303169728	0x121200C0	8		EPS battery data voltage stuff	yes
eps_domain_output		18	224	0x0E0	cat_pwr	gnd_health	304218336	0x122200E0	8	eps_dist	EPS Power Domain Information	yes
eps_pd_batt_voltage		18	225	0x0E1	cat_pwr	gnd_health	304218337	0x122200E1	3		battery voltage from pd board	yes
eps_pd_unvervoltage		18	226	0x0E2	cat_pwr	gnd_health	304218338	0x122200E2	1		undervoltage state notification	yes
estim_mag_unit_x		18	693	0x2B5	cat_adcs	gnd_none	302449333	0x120702B5	8	adcs_estim	Unit vector of direction of magnetic field z	yes
estim_mag_unit_y		18	694	0x2B6	cat_adcs	gnd_none	302449334	0x120702B6	8	adcs_estim	Unit vector of direction of magnetic field y	yes
estim_mag_unit_z		18	695	0x2B7	cat_adcs	gnd_none	302449335	0x120702B7	8	adcs_estim	Unit vector of direction of magnetic field x	yes
estim_state		18	696	0x2B8	cat_adcs	gnd_none	302449336	0x120702B8	1	adcs_estim	Are we in the sun/overhead?	yes
estim_sun_unit_x		18	692	0x2B4	cat_adcs	gnd_none	302449332	0x120702B4	8	adcs_estim	Unit vector of where the sun is at z	yes
estim_sun_unit_y		18	691	0x2B3	cat_adcs	gnd_none	302449331	0x120702B3	8	adcs_estim	Unit vector of where the sun is at y	yes
estim_sun_unit_z		18	690	0x2B2	cat_adcs	gnd_none	302449330	0x120702B2	8	adcs_estim	Unit vector of where the sun is at x	yes
gcmd_autosequencer_add_1		18	722	0x2D2	cat_cmd	gnd_none	302252754	0x120402D2	8	com_1	properties of autosequencer entry	yes
gcmd_autosequencer_add_2		18	723	0x2D3	cat_cmd	gnd_none	302252755	0x120402D3	8	com_1	data of CAN packet to be added to autosequencer	yes
gcmd_autosequencer_get_indices		18	726	0x2D6	cat_cmd	gnd_none	302252758	0x120402D6	4	com_1	
gcmd_autosequencer_get_met		18	727	0x2D7	cat_cmd	gnd_none	302252759	0x120402D7	1	com_1	
gcmd_autosequencer_remove_can_id	18	725	0x2D5	cat_cmd	gnd_none	302252757	0x120402D5	4	com_1	
gcmd_autosequencer_rm_at_index		18	724	0x2D4	cat_cmd	gnd_none	302252756	0x120402D4	1	com_1	
gcmd_batt_set_heater_check		18	730	0x2DA	cat_none	gnd_realtime	303039194	0x121002DA	1	com_1	enables/disables battery heater automation	
gcmd_bdot_control		18	714	0x2CA	cat_cmd	gnd_none	302252746	0x120402CA	1	com_1	
gcmd_bdot_mag_control		18	713	0x2C9	cat_cmd	gnd_none	302252745	0x120402C9	1	com_1	
gcmd_bdot_max_tumble		18	716	0x2CC	cat_cmd	gnd_none	302252748	0x120402CC	2	com_1	
gcmd_bdot_pole_override		18	712	0x2C8	cat_cmd	gnd_none	302252744	0x120402C8	1	com_1	
gcmd_bdot_spam		18	715	0x2CB	cat_cmd	gnd_none	302252747	0x120402CB	4	com_1	Spam Control message	
gcmd_dist_set_pd_ovc_bdot		18	705	0x2C1	cat_cmd	gnd_none	302252737	0x120402C1	4	com_1	Command to set Over Current Threshold of bdot	yes
gcmd_dist_set_pd_ovc_com1		18	702	0x2BE	cat_cmd	gnd_none	302252734	0x120402BE	4	com_1	Command to set Over Current Threshold of COM1	yes
gcmd_dist_set_pd_ovc_com2		18	703	0x2BF	cat_cmd	gnd_none	302252735	0x120402BF	4	com_1	Command to set Over Current Threshold of COM2	yes
gcmd_dist_set_pd_ovc_eps		18	708	0x2C4	cat_cmd	gnd_none	302252740	0x120402C4	4	com_1	Command to set Over Current Threshold of eps	yes
gcmd_dist_set_pd_ovc_estim		18	706	0x2C2	cat_cmd	gnd_none	302252738	0x120402C2	4	com_1	Command to set Over Current Threshold of estim	yes
gcmd_dist_set_pd_ovc_ppt		18	709	0x2C5	cat_cmd	gnd_none	302252741	0x120402C5	4	com_1	Command to set Over Current Threshold of ppt	yes
gcmd_dist_set_pd_ovc_rahs		18	704	0x2C0	cat_cmd	gnd_none	302252736	0x120402C0	4	com_1	Command to set Over Current Threshold of rahs	yes
gcmd_dist_set_pd_ovc_wheels		18	707	0x2C3	cat_cmd	gnd_none	302252739	0x120402C3	4	com_1	Command to set Over Current Threshold of wheels	yes
gcmd_dist_set_pd_state		18	701	0x2BD	cat_cmd	gnd_none	302252733	0x120402BD	2	com_1	Enables or disables the power switch	yes
gcmd_eps_batt_fulldef		18	719	0x2CF	cat_cmd	gnd_none	302252751	0x120402CF	8	com_1	battery definition of full	yes
gcmd_gen_set_pt_state		18	710	0x2C6	cat_cmd	gnd_none	302252742	0x120402C6	1	com_1	Set power tracker states	yes
gcmd_mtq_pms		18	717	0x2CD	cat_cmd	gnd_none	302252749	0x120402CD	4	com_1	Command to flip polarity of MTQ dipoles	yes
gcmd_mtq_pop		18	700	0x2BC	cat_cmd	gnd_none	302252732	0x120402BC	1	com_1	Command to flip polarity of MTQ dipoles	yes
gcmd_mtq_pwm_time		18	720	0x2D0	cat_cmd	gnd_none	302252752	0x120402D0	2	com_1	mtq pwm time	
gcmd_ppt_multiple_fire		18	721	0x2D1	cat_cmd	gnd_none	302252753	0x120402D1	2	com_1	Ground commands for firing the ppt multiple times	
gcmd_reset_minmax		18	718	0x2CE	cat_cmd	gnd_none	302252750	0x120402CE	0	com_1	reset min and max	yes
gcmd_sp_set_thresh		18	711	0x2C7	cat_cmd	gnd_none	302252743	0x120402C7	1	com_1	
gen_panel_current		18	209	0x0D1	cat_pwr	gnd_health	304218321	0x122200D1	6		EPS Panel Current	yes
gen_panel_pwr		18	210	0x0D2	cat_pwr	gnd_health	304218322	0x122200D2	7		EPS Panel Power (and aggregate)	yes
gen_panel_temp		18	211	0x0D3	cat_health	gnd_health	304677075	0x122900D3	4		EPS Panel Temp (and aggregate)	yes
gen_panel_voltage		18	208	0x0D0	cat_pwr	gnd_realtime	303169744	0x121200D0	6		EPS Panel Voltage	yes
grnd_epoch		18	697	0x2B9	cat_adcs	gnd_none	302449337	0x120702B9	5		
mpc_vp		18	34	0x022	cat_adcs	gnd_wod	305594402	0x12370022	1		Is the ship velocity pointing	yes
msp_temp		18	19	0x013	cat_health	gnd_health	304676883	0x12290013	2	
mtq_ack		18	48	0x030	cat_adcs	gnd_none	302448688	0x12070030	1	adcs_mtq	MTQ Acknowledge	yes
ppt_firing_result		18	240	0x0F0	cat_health	gnd_health	304677104	0x122900F0	8		Result of the last PPT fire	
rc_adcs_bdot_1		18	518	0x206	cat_health	gnd_health	304677382	0x12290206	7	adcs_bdot	BDOT RollCall	yes
rc_adcs_bdot_2		18	519	0x207	cat_health	gnd_health	304677383	0x12290207	8	adcs_bdot	BDOT RollCall	yes
rc_adcs_bdot_3		18	537	0x219	cat_health	gnd_health	304677401	0x12290219	8	adcs_bdot	BDOT RollCall	yes
rc_adcs_bdot_4		18	538	0x21A	cat_health	gnd_health	304677402	0x1229021A	3	adcs_bdot	BDOT RollCall	yes
rc_adcs_bdot_5		18	604	0x25C	cat_health	gnd_health	304677468	0x1229025C	8	adcs_bdot	BDOT Rollcall	
rc_adcs_bdot_5		18	623	0x26F	cat_health	gnd_health	304677487	0x1229026F	8	adcs_bdot	ADCS BDOT RollCall	
rc_adcs_bdot_6		18	624	0x270	cat_health	gnd_health	304677488	0x12290270	8	adcs_bdot	ADCS BDOT RollCall	
rc_adcs_bdot_7		18	625	0x271	cat_health	gnd_health	304677489	0x12290271	8	adcs_bdot	ADCS BDOT RollCall	
rc_adcs_bdot_8		18	626	0x272	cat_health	gnd_health	304677490	0x12290272	8	adcs_bdot	ADCS BDOT RollCall	
rc_adcs_bdot_9		18	627	0x273	cat_health	gnd_health	304677491	0x12290273	4	adcs_bdot	ADCS BDOT RollCall	
rc_adcs_bdot_h1		18	612	0x264	cat_health	gnd_health	304677476	0x12290264	8	adcs_bdot	BDOT Health Rollcall 1	
rc_adcs_bdot_h2		18	621	0x26D	cat_health	gnd_health	304677485	0x1229026D	1	adcs_bdot	BDOT Health Rollcall 2	
rc_adcs_estim_1		18	556	0x22C	cat_health	gnd_health	304677420	0x1229022C	8	adcs_estim	Estim Rollcall	yes
rc_adcs_estim_10		18	597	0x255	cat_health	gnd_health	304677461	0x12290255	8	adcs_estim	ESTim Rollcall	
rc_adcs_estim_11		18	598	0x256	cat_health	gnd_health	304677462	0x12290256	8	adcs_estim	ESTim Rollcall	
rc_adcs_estim_12		18	599	0x257	cat_health	gnd_health	304677463	0x12290257	8	adcs_estim	ESTim Rollcall	
rc_adcs_estim_13		18	600	0x258	cat_health	gnd_health	304677464	0x12290258	8	adcs_estim	ESTim Rollcall	
rc_adcs_estim_14		18	601	0x259	cat_health	gnd_health	304677465	0x12290259	8	adcs_estim	ESTim Rollcall	
rc_adcs_estim_2		18	557	0x22D	cat_health	gnd_health	304677421	0x1229022D	8	adcs_estim	Estim Rollcall	yes
rc_adcs_estim_3		18	558	0x22E	cat_health	gnd_health	304677422	0x1229022E	8	adcs_estim	Estim Rollcall	yes
rc_adcs_estim_4		18	559	0x22F	cat_health	gnd_health	304677423	0x1229022F	8	adcs_estim	Estim Rollcall	yes
rc_adcs_estim_5		18	560	0x230	cat_health	gnd_health	304677424	0x12290230	8	adcs_estim	Estim Rollcall	yes
rc_adcs_estim_6		18	561	0x231	cat_health	gnd_health	304677425	0x12290231	8	adcs_estim	Estim Rollcall	yes
rc_adcs_estim_7		18	562	0x232	cat_health	gnd_health	304677426	0x12290232	8	adcs_estim	Estim Rollcall	yes
rc_adcs_estim_8		18	563	0x233	cat_health	gnd_health	304677427	0x12290233	7	adcs_estim	Estim Rollcall	yes
rc_adcs_estim_9		18	596	0x254	cat_health	gnd_health	304677460	0x12290254	8	adcs_estim	ESTim Rollcall	
rc_adcs_estim_h1		18	609	0x261	cat_health	gnd_health	304677473	0x12290261	8	adcs_estim	ESTIM Health Rollcall 1	
rc_adcs_estim_h2		18	618	0x26A	cat_health	gnd_health	304677482	0x1229026A	1	adcs_estim	ESTIM Health Rollcall 2	
rc_adcs_mpc_1		18	564	0x234	cat_health	gnd_health	304677428	0x12290234	8	adcs_mpc	MPC Rollcall	yes
rc_adcs_mpc_10		18	573	0x23D	cat_health	gnd_health	304677437	0x1229023D	8	adcs_mpc	MPC Rollcall	yes
rc_adcs_mpc_11		18	574	0x23E	cat_health	gnd_health	304677438	0x1229023E	8	adcs_mpc	MPC Rollcall	yes
rc_adcs_mpc_12		18	575	0x23F	cat_health	gnd_health	304677439	0x1229023F	8	adcs_mpc	MPC Rollcall	yes
rc_adcs_mpc_13		18	576	0x240	cat_health	gnd_health	304677440	0x12290240	8	adcs_mpc	MPC Rollcall	yes
rc_adcs_mpc_14		18	577	0x241	cat_health	gnd_health	304677441	0x12290241	8	adcs_mpc	MPC Rollcall	yes
rc_adcs_mpc_15		18	578	0x242	cat_health	gnd_health	304677442	0x12290242	2	adcs_mpc	MPC Rollcall	yes
rc_adcs_mpc_2		18	565	0x235	cat_health	gnd_health	304677429	0x12290235	8	adcs_mpc	MPC Rollcall	yes
rc_adcs_mpc_3		18	566	0x236	cat_health	gnd_health	304677430	0x12290236	8	adcs_mpc	MPC Rollcall	yes
rc_adcs_mpc_4		18	567	0x237	cat_health	gnd_health	304677431	0x12290237	8	adcs_mpc	MPC Rollcall	yes
rc_adcs_mpc_5		18	568	0x238	cat_health	gnd_health	304677432	0x12290238	8	adcs_mpc	MPC Rollcall	yes
rc_adcs_mpc_6		18	569	0x239	cat_health	gnd_health	304677433	0x12290239	8	adcs_mpc	MPC Rollcall	yes
rc_adcs_mpc_7		18	570	0x23A	cat_health	gnd_health	304677434	0x1229023A	8	adcs_mpc	MPC Rollcall	yes
rc_adcs_mpc_8		18	571	0x23B	cat_health	gnd_health	304677435	0x1229023B	8	adcs_mpc	MPC Rollcall	yes
rc_adcs_mpc_9		18	572	0x23C	cat_health	gnd_health	304677436	0x1229023C	8	adcs_mpc	MPC Rollcall	yes
rc_adcs_mpc_h1		18	610	0x262	cat_health	gnd_health	304677474	0x12290262	8	adcs_mpc	MPC Health Rollcall 1	
rc_adcs_mpc_h2		18	619	0x26B	cat_health	gnd_health	304677483	0x1229026B	1	adcs_mpc	MPC Health Rollcall 2	
rc_adcs_mtq_1		18	523	0x20B	cat_health	gnd_health	304677387	0x1229020B	7	adcs_mtq	MTQ RollCall	yes
rc_adcs_mtq_2		18	524	0x20C	cat_health	gnd_health	304677388	0x1229020C	8	adcs_mtq	MTQ RollCall	yes
rc_adcs_mtq_3		18	525	0x20D	cat_health	gnd_health	304677389	0x1229020D	8	adcs_mtq	MTQ RollCall	yes
rc_adcs_mtq_4		18	526	0x20E	cat_health	gnd_health	304677390	0x1229020E	8	adcs_mtq	MTQ RollCall	yes
rc_adcs_mtq_5		18	527	0x20F	cat_health	gnd_health	304677391	0x1229020F	2	adcs_mtq	MTQ RollCall	yes
rc_adcs_mtq_h1		18	606	0x25E	cat_health	gnd_health	304677470	0x1229025E	8	adcs_mtq	MTQ Health Rollcall 1	
rc_adcs_mtq_h2		18	615	0x267	cat_health	gnd_health	304677479	0x12290267	1	adcs_mtq	MTQ Health Rollcall 2	
rc_adcs_sp_1		18	539	0x21B	cat_health	gnd_health	304677403	0x1229021B	8	adcs_sensorproc	Sensor Proc RollCall	yes
rc_adcs_sp_10		18	548	0x224	cat_health	gnd_health	304677412	0x12290224	8	adcs_sensorproc	Sensor Proc RollCall	yes
rc_adcs_sp_11		18	549	0x225	cat_health	gnd_health	304677413	0x12290225	8	adcs_sensorproc	Sensor Proc RollCall	yes
rc_adcs_sp_12		18	550	0x226	cat_health	gnd_health	304677414	0x12290226	8	adcs_sensorproc	Sensor Proc RollCall	yes
rc_adcs_sp_13		18	551	0x227	cat_health	gnd_health	304677415	0x12290227	8	adcs_sensorproc	Sensor Proc RollCall	yes
rc_adcs_sp_14		18	552	0x228	cat_health	gnd_health	304677416	0x12290228	7	adcs_sensorproc	Sensor Proc RollCall	yes
rc_adcs_sp_15		18	553	0x229	cat_health	gnd_health	304677417	0x12290229	7	adcs_sensorproc	Sensor Proc RollCall	yes
rc_adcs_sp_16		18	554	0x22A	cat_health	gnd_health	304677418	0x1229022A	8	adcs_sensorproc	Sensor Proc RollCall	yes
rc_adcs_sp_17		18	555	0x22B	cat_health	gnd_health	304677419	0x1229022B	4	adcs_sensorproc	Sensor Proc RollCall	yes
rc_adcs_sp_2		18	540	0x21C	cat_health	gnd_health	304677404	0x1229021C	8	adcs_sensorproc	Sensor Proc RollCall	yes
rc_adcs_sp_3		18	541	0x21D	cat_health	gnd_health	304677405	0x1229021D	8	adcs_sensorproc	Sensor Proc RollCall	yes
rc_adcs_sp_4		18	542	0x21E	cat_health	gnd_health	304677406	0x1229021E	8	adcs_sensorproc	Sensor Proc RollCall	yes
rc_adcs_sp_5		18	543	0x21F	cat_health	gnd_health	304677407	0x1229021F	8	adcs_sensorproc	Sensor Proc RollCall	yes
rc_adcs_sp_6		18	544	0x220	cat_health	gnd_health	304677408	0x12290220	8	adcs_sensorproc	Sensor Proc RollCall	yes
rc_adcs_sp_7		18	545	0x221	cat_health	gnd_health	304677409	0x12290221	8	adcs_sensorproc	DEPRECATED Sensor Proc RollCall	yes
